tentinh,tenxa,loai,matinh,maxa,danso,dientich_km2,trungtam_hc,truoc_sapnhap,kinhdo,vido
tỉnh An Giang,An Biên,xã,32,399,53784,118.27,UBND huyện An Biên,"Thị trấn Thứ Ba, Xã Đông Yên, Xã Hưng Yên",105.097,9.7871
tỉnh An Giang,An Châu,xã,32,350,65588,70.25,UBND huyện Châu Thàn hiện nay,"Thị trấn An Châu, Xã Hòa Bình Thạnh, Xã Vĩnh Thành",105.35,10.3975
tỉnh An Giang,An Cư,xã,32,498,39956,94.3,UBND xã An Cư hiện nay,"Xã Văn Giáo, Xã Vĩnh Trung, Xã An Cư",105.012,10.559
tỉnh An Giang,An Minh,xã,32,402,35596,142.3,UBND huyện An Minh,"Thị trấn Thứ Mười Một, Xã Đông Hưng, Xã Đông Hưng B",104.972,9.60108
tỉnh An Giang,An Phú,xã,32,341,49051,34.7,UBND thị trấn An Phú cũ,"Thị trấn An Phú, Xã Vĩnh Hội Đông, Xã Phú Hội, Xã Phước Hưng",105.077,10.8084
tỉnh An Giang,Ba Chúc,xã,32,501,32071,70.94,UBND thị trấn Ba Chúc cũ,"Thị trấn Ba Chúc, Xã Lạc Quới, Xã Lê Trì",104.907,10.5026
tỉnh An Giang,Bình An,xã,32,386,59475,73.43,UBND xã Bình An,"Xã Bình An (huyện Châu Thành), Xã Vĩnh Hòa Hiệp, Xã Vĩnh Hòa Phú",105.135,9.88888
tỉnh An Giang,Bình Đức,phường,32,174,72822,28.23,Phường Bình Khánh (169 Hàm Nghi),"Phường Bình Khánh, Phường Bình Đức, Xã Mỹ Khánh",105.399,10.3966
tỉnh An Giang,Bình Giang,xã,32,379,18257,163.7,UBND xã Bình Giang,Không sáp nhập,104.791,10.3092
tỉnh An Giang,Bình Hòa,xã,32,353,56484,48.63,UBND xã Bình Hòa hiện nay,"Xã Bình Thạnh, Xã An Hòa, Xã Bình Hòa",105.334,10.4623
tỉnh An Giang,Bình Mỹ,xã,32,494,6865,82.62,UBND xã Bình Mỹ,"Xã Bình Thủy, Xã Bình Chánh, Xã Bình Mỹ",105.269,10.5108
tỉnh An Giang,Bình Sơn,xã,32,377,61517,281.7,xã Bình Sơn,Không sáp nhập,104.859,10.2664
tỉnh An Giang,Bình Thạnh Đông,xã,32,484,50569,61.7,UBND xã Phú Bình cũ,"Xã Hiệp Xương, Xã Phú Bình, Xã Bình Thạnh Đông",105.259,10.6009
tỉnh An Giang,Cần Đăng,xã,32,351,35257,65.21,UBND xã Cần Đăng,"Xã Vĩnh Lợi, Xã Cần Đăng",105.301,10.3982
tỉnh An Giang,Châu Đốc,phường,32,340,97438,41.32,Phường Châu Phú B,"Phường Vĩnh Nguơn, Phường Châu Phú A, Phường Châu Phú B, Phường Vĩnh Mỹ, Xã Vĩnh Châu",105.117,10.6837
tỉnh An Giang,Châu Phong,xã,32,476,56322,49.28,UBND xã Lê Chánh cũ,"Xã Phú Vĩnh, Xã Lê Chánh, Xã Châu Phong",105.172,10.74
tỉnh An Giang,Châu Phú,xã,32,485,60137,80.11,UBND huyện Châu Phú cũ,"Thị trấn Cái Dầu, Xã Bình Long, Xã Bình Phú",105.198,10.5108
tỉnh An Giang,Châu Thành,xã,32,385,39104,47.71,UBND huyện Châu Thành cũ,"Thị trấn Minh Lương, Xã Minh Hòa, Xã Giục Tượng",105.194,9.90357
tỉnh An Giang,Chi Lăng,phường,32,495,28401,51.17,UBND phường Chi Lăng,"Phường Núi Voi, Phường Chi Lăng, Xã Tân Lợi",105.051,10.5181
tỉnh An Giang,Chợ Mới,xã,32,355,80832,50.43,UBND huyện Chợ Mới cũ,"Thị trấn Chợ Mới, Xã Kiến An, Xã Kiến Thành",105.375,10.5393
tỉnh An Giang,Chợ Vàm,xã,32,477,50436,67.48,UBND thị trấn Chợ Vàm cũ,"Thị trấn Chợ Vàm, Xã Phú Thạnh, Xã Phú Thành",105.286,10.6897
tỉnh An Giang,Cô Tô,xã,32,503,31278,176.75,UBND thị trấn Cô Tô,"Thị trấn Cô Tô, Xã Tà Đảnh, Xã Tân Tuyến",105.068,10.357
tỉnh An Giang,Cù Lao Giêng,xã,32,357,70372,68.92,UBND xã Tấn Mỹ cũ,"Xã Tấn Mỹ, Xã Mỹ Hiệp, Xã Bình Phước Xuân",105.534,10.4932
tỉnh An Giang,Định Hòa,xã,32,397,56675,143.79,UBND xã Định Hòa,"Xã Thới Quản, Xã Thủy Liễu, Xã Định Hòa",105.215,9.7568
tỉnh An Giang,Định Mỹ,xã,32,366,42328,109.77,UBND xã Định Thành cũ,"Xã Vĩnh Phú (huyện Thoại Sơn), Xã Định Thành, Xã Định Mỹ",105.266,10.3245
tỉnh An Giang,Đông Hòa,xã,32,404,45282,151.88,UBND xã Đông Hòa,"Xã Đông Thạnh, Xã Đông Hòa",104.992,9.6999
tỉnh An Giang,Đông Hưng,xã,32,406,22281,81.62,UBND xã Đông Hưng A,"Xã Vân Khánh Đông, Xã Đông Hưng A",104.881,9.65306
tỉnh An Giang,Đông Thái,xã,32,401,54321,154.52,UBND xã Đông Thái,"Xã Nam Thái, Xã Nam Thái A, Xã Đông Thái",105.001,9.79932
tỉnh An Giang,Giang Thành,xã,32,374,20039,184.14,UBND huyện Giang Thành cũ,"Xã Tân Khánh Hòa, Xã Phú Lợi, Xã Phú Mỹ",104.6,10.4479
